23-04-2023 13:34:46 | 780 | root | INFO | Preprocessed mnist data loaded successfully
24-04-2023 17:43:47 | 609 | root | INFO | Preprocessed mnist data loaded successfully
24-04-2023 17:46:35 | 28 | root | INFO | Preprocessed mnist data loaded successfully
24-04-2023 17:47:04 | 213 | root | INFO | Preprocessed mnist data loaded successfully
24-04-2023 18:00:51 | 571 | root | INFO | Preprocessed mnist data loaded successfully
24-04-2023 18:04:57 | 64 | root | INFO | Preprocessed mnist data loaded successfully
24-04-2023 18:05:17 | 829 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 13:31:32 | 474 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 13:34:06 | 607 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 13:35:48 | 160 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 13:38:26 | 747 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 13:40:45 | 417 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 13:42:33 | 389 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 13:42:58 | 778 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 14:05:30 | 97 | root | INFO | Preprocessed mnist data loaded successfully
25-04-2023 14:06:01 | 192 | root | INFO | Updating local information for all nodes
